rmse,mae,pearson,spearman,best_params
0.8275151436333386,0.6608572602272034,0.6013326,0.6134213401692339,{'model__alpha': 100.0}
0.8094541606706839,0.6385691165924072,0.6136598,0.6207297596979674,{'model__alpha': 100.0}
0.829930909509904,0.6645433902740479,0.5930269,0.5927718541414249,{'model__alpha': 100.0}
0.8357031306487618,0.6628115177154541,0.59830534,0.6060896144663394,{'model__alpha': 100.0}
0.8266958103951884,0.6592304110527039,0.6058397,0.6172438008989296,{'model__alpha': 100.0}
